Book,Chapter,Section,Text,Violence
AGESILAUES,27,1,"And [Lysander] died before Agesilaus returned from Asia, after he had plunged, or rather had plunged Hellas, into the Boeotian war. For it is stated in both ways; and some hold him responsible for the war, others the Thebans, and others both together. It is charged against the Thebans that they cast away the sacrifices at Aulis, and that, because Androcleides and Amphitheus had been bribed with the King's money to stir up a war in Greece against the Lacedaemonians, they set upon the Phocians and ravaged their country.",1
AGESILAUES,9,2,"At once, then, requiting the perjury of Tisaphernes with a righteous deception, he gave out word that he was going to lead his troops against Caria; but when the Barbarian had assembled his forces there, he set out and made an incursion into Phrygia.",1
AGESILAUES,9,3,"He captured many cities and made himself master of boundless treasure, thus showing plainly to his friends that the violation of a treaty is contempt for the gods, but that in outwitting one's enemies there is not only justice, but also great glory, and profit mixed with pleasure.",1
AGESILAUES,10,2,"and riding through the plain with his cavalry, he cut off many straggling plunderers there.",1
AGESILAUES,10,3,"As a result of this battle, the Greeks could not only harry the country of the King without fear, but had the satisfaction of seeing due punishment inflicted upon Tisaphernes, an abominable man, and most hateful to the Greek race.",1
AGESILAUES,11,3,"and then receiving from him a thousand horsemen and two thousand targeteers, he retired again into Phrygia, and harassed the country of Pharnabazus, who did not stand his ground nor trust in his defences, but always kept most of his valued and precious things with him, and withdrew or fled from one part of the country to another, having no abiding place.",1
AGESILAUES,16,2,"and marched forward, and finding them drawn up for battle, engaged them, routed them, and slew many of them.",1
AGESILAUES,16,3,"Since the Thessalians were in alliance with his enemies, he ravaged their country.",1
AGESILAUES,16,5,"However, when the Pharsalians annoyed him and harassed his army, he ordered five hundred horsemen which he led in person to attack them, routed them, and set up a trophy at the foot of mount Narthacium.",1
AGESILAUES,16,5,"This victory gave him special pleasure, because with horsemen of his own mustering and training, and with no other force, he had conquered those whose chief pride was placed in their cavalry.",1
AGESILAUES,18,1,Xenophon says that this battle was unlike any ever fought,1
AGESILAUES,18,1,"Xenophon says that this battle was unlike any ever fought, and he was present himself and fought on the side of Agesilaüs, having crossed over with him from Asia.",1
AGESILAUES,18,2,"The first impact, it is true, did not meet with much resistance, nor was it long contested, but the Thebans speedily routed the Orchomenians, as Agesilaüs did the Argives.",1
AGESILAUES,18,3,"For they fought with the utmost fury and exposed their lives in his behalf, and though they were not able to keep him from being wounded, but many blows of spears and swords pierced his armour and reached his person, they did succeed in dragging him off alive, and standing in close array in front of him, they slew many foes, while many of their own number fell.",1
AGESILAUES,18,3,"But they received him with a vigour that matched his own, and a battle ensued which was fierce at all points in the line, but fiercest where the king himself stood surrounded by his fifty volunteers, whose opportune and emulous valour seems to have saved his life.",1
AGESILAUES,21,1,"Having thus obtained very great influence in the city, he effected the appointment of Teleutias, his half-brother on his mother's side, as admiral. Then he led an army to Corinth, and himself, by land, captured the long walls, while Teleutias, with his fleet, seized the enemy's ships and dockyards.",1
AGESILAUES,21,1,"Then coming suddenly upon the Argives, who at that time held Corinth, and were celebrating the Isthmian games, he drove them away just as they had sacrificed to the god",1
AGESILAUES,22,1,"While he was lingering in the territory of Corinth, he seized the Heraeum, and as he was watching his soldiers carry off the prisoners and booty, messengers came from Thebes to treat for peace.",1
AGESILAUES,22,5,"After this, to gratify the Achaeans, he crossed over with them on an expedition into Acarnania, where he drove away much booty and conquered the Acarnanians in battle.",1
AGESILAUES,23,1,"To that end, they sent Antalcidas to Tiribazus, and in the most shameful and lawless fashion handed over to the King the Greeks resident in Asia, in whose behalf Agesilaüs had waged war. Agesilaüs, therefore, could have had no part at all in this infamy.",1
AGESILAUES,24,2,"He was ashamed, after having recently made war upon the Phliasians in behalf of their exiles, to be seen now harrying the Thebans in the interests of their tyrants.",1
AGESILAUES,26,2,"Besides, when he saw that his colleague Cleombrotus was little inclined to make war upon the Thebans, he waived the exemption by law which he had formerly claimed in the matter of the expedition, and presently led an incursion into Boeotia himself, where he inflicted damage upon the Thebans, and in his turn met with reverses, so that one day when he was wounded, Antalcidas said to him:",1
AGESILAUES,30,5,"Then, wishing to remove the discouragement and dejection which prevailed among the young men, he made an incursion into Arcadia, and though he studiously avoided joining battle with the enemy, he took a small town of the Mantineans and overran their territory, and thus lightened and gladdened the expectations of his city, which felt that its case was not wholly desperate.",1
AGESILAUES,32,5,"Then Agesilaüs at once summoned other troops and took possession of the Issorium, after which he arrested about fifteen of the conspirators who had been gathered there, and put them to death in the night.",1
AGESILAUES,32,6,"Accordingly, Agesilaüs conferred with the ephors, and then put these men also to death without process of law, although no Spartan had ever before met with such a death.",1
AGESILAUES,39,5,"many were slain, and the fugitives were dispersed and melted away.",1
AGESILAUES,22,4,"And taking them along with him on the next day, he ravaged the territory of the Corinthians, and advanced to the very gates of the city.",1
AGESILAUES,1,1,"Archidamus, the son of Zeuxidamas, after an illustrious reign over the Lacedaemonians, left behind him a son, Agis, by Lampido, a woman of honourable family; and a much younger son, Agesilaüs, by Eupolia, the daughter of Melesippidas. The kingdom belonged to Agis by law, and it was thought that Agesilaüs would pass his life in a private station. He was therefore given the so-called agoge, or course of public training in Sparta, which, although austere in its mode of life and full of hardships, educated the youth to obedience.",0
AGESILAUES,1,2,"For this reason it was, we are told, that Simonides gave Sparta the epithet of agoge, or course of public training in Sparta, which, although austere in its mode of life and full of hardships, educated the youth to obedience. man-subduing, since more than in any other state her customs made her citizens obedient to the laws and tractable, like horses that are broken in while yet they are colts. From this compulsory training the law exempts the heirs-apparent to the throne.",0
AGESILAUES,1,3,"But Agesilaüs was singular in this also, that he had been educated to obey before he came to command. For this reason he was much more in harmony with his subjects than any of the kings; to the commanding and kingly traits which were his by nature there had been added by his public training those of popularity and kindliness. ",0
